SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2020-03-26
Total Assets Under Management (in thousands):	244286779
Shares Outstanding: 931932000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/SPY


Holding,Symbol,Weighting
General Dynamics Corp,GD,0.1433%
Ross Stores Inc,ROST,0.1417%
Xcel Energy Inc,XEL,0.1392%
General Mills Inc,GIS,0.1385%
FedEx Corp,FDX,0.138%
SBA Communications Corp,SBAC,0.1372%
Emerson Electric Co,EMR,0.1363%
Allstate Corp,ALL,0.1332%
Electronic Arts Inc,EA,0.1325%
General Motors Co,GM,0.1301%
Kinder Morgan Inc,KMI,0.1293%
Public Storage,PSA,0.1289%
Bank of New York Mellon Corp,BK,0.1269%
WEC Energy Group Inc,WEC,0.1258%
Sysco Corp,SYY,0.1253%
Cognizant Technology Solutions Corp,CTSH,0.1251%
Capital One Financial Corp,COF,0.1236%
T-Mobile US Inc,TMUS,0.1227%
Dupont De Nemours Inc,DD,0.1221%
HP Inc,HPQ,0.1218%
Aflac Inc,AFL,0.1204%
Eversource Energy,ES,0.1172%
Motorola Solutions Inc,MSI,0.1171%
MetLife Inc,MET,0.1167%
Travelers Companies Inc,TRV,0.1167%
Consolidated Edison Inc,ED,0.1159%
HCA Healthcare Inc,HCA,0.1146%
MSCI Inc,MSCI,0.1136%
O'Reilly Automotive Inc,ORLY,0.1122%
Phillips 66,PSX,0.1108%
American International Group Inc,AIG,0.1098%
IHS Markit Ltd,INFO,0.1095%
KLA Corp,KLAC,0.1086%
McKesson Corp,MCK,0.1085%
Constellation Brands Inc,STZ,0.1084%
T. Rowe Price Group Inc,TROW,0.1082%
Amphenol Corp,APH,0.1075%
Kroger Co,KR,0.1066%
Verisk Analytics Inc,VRSK,0.1063%
eBay Inc,EBAY,0.1059%
EOG Resources Inc,EOG,0.1056%
Yum! Brands Inc,YUM,0.1052%
TE Connectivity Ltd,TEL,0.1046%
Agilent Technologies Inc,A,0.1046%
Marriott International Inc,MAR,0.103%
Public Service Enterprise Group Inc,PEG,0.1021%
Monster Beverage Corp,MNST,0.1011%
Dow Inc,DOW,0.101%
Prudential Financial Inc,PRU,0.1009%
American Water Works Company Inc,AWK,0.0992%
Clorox Co,CLX,0.0991%
Schlumberger NV,SLB,0.0985%
PPG Industries Inc,PPG,0.0972%
Willis Towers Watson PLC,WLTW,0.0972%
AvalonBay Communities Inc,AVB,0.0968%
Resmed Inc,RMD,0.0961%
FirstEnergy Corp,FE,0.0959%
Paccar Inc,PCAR,0.0959%
Paychex Inc,PAYX,0.0957%
Johnson Controls International PLC,JCI,0.0956%
Trane Technologies PLC,TT,0.0955%
Zimmer Biomet Holdings Inc,ZBH,0.0954%
Hilton Worldwide Holdings Inc,HLT,0.0949%
Equity Residential,EQR,0.0949%
Edison International,EIX,0.0947%
Cummins Inc,CMI,0.0947%
Autozone Inc,AZO,0.0945%
Twitter Inc,TWTR,0.0941%
Ball Corp,BLL,0.094%
Welltower Inc,WELL,0.0938%
Ford Motor Co,F,0.0937%
VF Corp,VFC,0.0931%
Xilinx Inc,XLNX,0.0925%
TransDigm Group Inc,TDG,0.092%
IDEXX Laboratories Inc,IDXX,0.0914%
IQVIA Holdings Inc,IQV,0.0911%
Hershey Co,HSY,0.0899%
Southwest Airlines Co,LUV,0.0897%
ANSYS Inc,ANSS,0.0896%
Entergy Corp,ETR,0.0885%
Archer Daniels Midland Co,ADM,0.0881%
Cerner Corp,CERN,0.088%
Synopsys Inc,SNPS,0.0879%
Alexion Pharmaceuticals Inc,ALXN,0.0874%
Realty Income Corp,O,0.0873%
Simon Property Group Inc,SPG,0.0872%
PPL Corp,PPL,0.0868%
Cadence Design Systems Inc,CDNS,0.0863%
DTE Energy Co,DTE,0.086%
Valero Energy Corp,VLO,0.0859%
Fastenal Co,FAST,0.085%
Dollar Tree Inc,DLTR,0.0847%
Fleetcor Technologies Inc,FLT,0.0843%
Rockwell Automation Inc,ROK,0.0839%
Delta Air Lines Inc,DAL,0.0837%
Verisign Inc,VRSN,0.0832%
Corteva Inc,CTVA,0.0829%
Tyson Foods Inc,TSN,0.0827%
Ameren Corp,AEE,0.0822%
State Street Corp,STT,0.0822%
Microchip Technology Inc,MCHP,0.0819%
Alexandria Real Estate Equities Inc,ARE,0.0801%
Williams Companies Inc,WMB,0.0792%
Corning Inc,GLW,0.0769%
Parker-Hannifin Corp,PH,0.0767%
Chipotle Mexican Grill Inc,CMG,0.0757%
AMETEK Inc,AME,0.0757%
Mettler-Toledo International Inc,MTD,0.0755%
Republic Services Inc,RSG,0.075%
Las Vegas Sands Corp,LVS,0.0749%
Stanley Black & Decker Inc,SWK,0.0745%
McCormick & Company Inc,MKC,0.0743%
CMS Energy Corp,CMS,0.0743%
Cintas Corp,CTAS,0.0735%
Northern Trust Corp,NTRS,0.073%
Citrix Systems Inc,CTXS,0.0726%
Keysight Technologies Inc,KEYS,0.0726%
Skyworks Solutions Inc,SWKS,0.0723%
Kraft Heinz Co,KHC,0.0707%
Church & Dwight Co Inc,CHD,0.0705%
Fortive Corp,FTV,0.0702%
Akamai Technologies Inc,AKAM,0.0698%
Arthur J Gallagher & Co,AJG,0.069%
Marathon Petroleum Corp,MPC,0.0689%
Copart Inc,CPRT,0.0681%
Equifax Inc,EFX,0.0678%
Kellogg Co,K,0.0672%
Essex Property Trust Inc,ESS,0.0667%
M&T Bank Corp,MTB,0.0667%
CDW Corp,CDW,0.0663%
Best Buy Co Inc,BBY,0.0657%
Cooper Companies Inc,COO,0.0646%
Fortinet Inc,FTNT,0.0645%
Aptiv PLC,APTV,0.0645%
Ameriprise Financial Inc,AMP,0.0643%
Tiffany & Co,TIF,0.064%
LyondellBasell Industries NV,LYB,0.0634%
Align Technology Inc,ALGN,0.0629%
First Republic Bank,FRC,0.0627%
Weyerhaeuser Co,WY,0.0625%
Hewlett Packard Enterprise Co,HPE,0.0625%
Maxim Integrated Products Inc,MXIM,0.0624%
Vulcan Materials Co,VMC,0.0624%
CBRE Group Inc,CBRE,0.0623%
Old Dominion Freight Line Inc,ODFL,0.0622%
Teleflex Inc,TFX,0.062%
Conagra Brands Inc,CAG,0.062%
Marketaxess Holdings Inc,MKTX,0.0619%
Kansas City Southern,KSU,0.0611%
Cardinal Health Inc,CAH,0.061%
Boston Properties Inc,BXP,0.061%
Evergy Inc,EVRG,0.0608%
Laboratory Corporation of America Holdings,LH,0.0606%
Western Digital Corp,WDC,0.0605%
Amcor PLC,AMCR,0.0604%
D.R. Horton Inc,DHI,0.0602%
Discover Financial Services,DFS,0.0598%
Take-Two Interactive Software Inc,TTWO,0.0598%
Incyte Corp,INCY,0.0596%
Hartford Financial Services Group Inc,HIG,0.0578%
AmerisourceBergen Corp,ABC,0.0578%
Hormel Foods Corp,HRL,0.0571%
Waters Corp,WAT,0.057%
Pioneer Natural Resources Co,PXD,0.0567%
Leidos Holdings Inc,LDOS,0.0565%
Martin Marietta Materials Inc,MLM,0.0565%
Omnicom Group Inc,OMC,0.0563%
Fifth Third Bancorp,FITB,0.0563%
Dover Corp,DOV,0.0562%
Xylem Inc,XYL,0.056%
International Flavors & Fragrances Inc,IFF,0.0559%
International Paper Co,IP,0.0558%
Healthpeak Properties Inc,PEAK,0.0551%
Quest Diagnostics Inc,DGX,0.055%
Cincinnati Financial Corp,CINF,0.0547%
J M Smucker Co,SJM,0.0545%
Lennar Corp,LEN,0.0544%
Mid-America Apartment Communities Inc,MAA,0.0541%
Extra Space Storage Inc,EXR,0.0535%
Jack Henry & Associates Inc,JKHY,0.053%
Atmos Energy Corp,ATO,0.0529%
Occidental Petroleum Corp,OXY,0.0526%
Alliant Energy Corp,LNT,0.0526%
KeyCorp,KEY,0.0518%
Duke Realty Corp,DRE,0.0517%
Broadridge Financial Solutions Inc,BR,0.051%
Seagate Technology PLC,STX,0.0509%
Paycom Software Inc,PAYC,0.0507%
Expeditors International of Washington Inc,EXPD,0.0507%
Arista Networks Inc,ANET,0.0505%
Steris plc,STE,0.0504%
W W Grainger Inc,GWW,0.0494%
Nasdaq Inc,NDAQ,0.0494%
NortonLifeLock Inc,NLOK,0.0493%
Garmin Ltd,GRMN,0.0493%
Jacobs Engineering Group Inc,J,0.0493%
Synchrony Financial,SYF,0.0492%
Ventas Inc,VTR,0.0491%
Ulta Beauty Inc,ULTA,0.049%
Zebra Technologies Corp,ZBRA,0.0482%
UDR Inc,UDR,0.048%
FMC Corp,FMC,0.0477%
Nucor Corp,NUE,0.0466%
Masco Corp,MAS,0.0466%
Freeport-McMoRan Inc,FCX,0.0465%
Cboe Global Markets Inc,CBOE,0.0464%
ONEOK Inc,OKE,0.0461%
Brown-Forman Corp,BF.B,0.046%
Carmax Inc,KMX,0.046%
Genuine Parts Co,GPC,0.0456%
Varian Medical Systems Inc,VAR,0.0454%
Tractor Supply Co,TSCO,0.0452%
NVR Inc,NVR,0.0449%
Qorvo Inc,QRVO,0.0446%
NetApp Inc,NTAP,0.0444%
IDEX Corp,IEX,0.0442%
Hess Corp,HES,0.0437%
Regions Financial Corp,RF,0.0436%
Gartner Inc,IT,0.0433%
Cash Component,CASH,0.0426%
Celanese Corp,CE,0.0421%
Westinghouse Air Brake Technologies Corp,WAB,0.042%
NiSource Inc,NI,0.042%
Centurylink Inc,CTL,0.0418%
Hologic Inc,HOLX,0.0418%
Loews Corp,L,0.0416%
Concho Resources Inc,CXO,0.0414%
Allegion PLC,ALLE,0.0414%
Expedia Group Inc,EXPE,0.0413%
Citizens Financial Group Inc,CFG,0.0413%
Pinnacle West Capital Corp,PNW,0.0412%
AES Corp,AES,0.0411%
Host Hotels & Resorts Inc,HST,0.041%
C.H. Robinson Worldwide Inc,CHRW,0.0407%
SVB Financial Group,SIVB,0.0406%
Fox Corp,FOXA,0.0406%
PerkinElmer Inc,PKI,0.0404%
Huntington Bancshares Inc,HBAN,0.0403%
DENTSPLY SIRONA Inc,XRAY,0.0403%
Principal Financial Group Inc,PFG,0.04%
Western Union Co,WU,0.0399%
Hasbro Inc,HAS,0.0396%
Lamb Weston Holdings Inc,LW,0.0395%
Avery Dennison Corp,AVY,0.0389%
Packaging Corp of America,PKG,0.038%
Huntington Ingalls Industries Inc,HII,0.0373%
Everest Re Group Ltd,RE,0.0373%
Ingersoll Rand Inc,IR,0.0372%
E*TRADE Financial Corp,ETFC,0.0371%
Baker Hughes Co,BKR,0.037%
Mylan NV,MYL,0.0368%
CenterPoint Energy Inc,CNP,0.0366%
Raymond James Financial Inc,RJF,0.0365%
J B Hunt Transport Services Inc,JBHT,0.0365%
